N,p,M,n_runs,avg_steps_mean,avg_steps_ci95,prob_mean,prob_ci95
100,0.4,200,10.0,12.3925,0.14307291458864219,0.0,0.0
100,0.45,200,10.0,18.494,0.4036251878496515,0.0,0.0
100,0.5,200,10.0,30.3555,0.7604312369818712,0.0,0.0
100,0.55,200,10.0,67.57,1.2540979671106696,0.008000000000000002,0.004665733239981329
100,0.58,50,10.0,137.35999999999999,4.493349100664718,0.21800000000000003,0.032245822468448
100,0.58,100,10.0,135.919,3.519438749422032,0.229,0.015855957170028485
100,0.58,200,10.0,136.2,3.334417097151735,0.231,0.014739871852299875
100,0.58,400,10.0,134.8228,1.3935848344091222,0.22849999999999998,0.010514404933761642
100,0.6,50,10.0,195.408,8.945665982148999,0.6779999999999999,0.06057354904943613
100,0.6,100,10.0,193.51500000000001,5.127548179523358,0.6759999999999999,0.037893333333333334
100,0.6,200,10.0,192.84650000000002,3.899368442316441,0.6795,0.03255049342517286
100,0.6,400,10.0,191.9074,2.371161833829896,0.6729999999999999,0.01637900281864965
100,0.62,50,10.0,201.728,3.1327708708213353,0.9279999999999999,0.02690591343511269
100,0.62,100,10.0,203.166,1.9477250649696707,0.943,0.012413333333333313
100,0.62,200,10.0,203.6015,1.614258328232089,0.951,0.006975691124660441
100,0.62,400,10.0,203.59300000000002,1.0521168919764663,0.9477499999999999,0.0071363770764848004
100,0.65,200,10.0,173.35250000000002,1.201756231613643,0.9995,0.0009800000000000008
100,0.7,200,10.0,145.102,0.20179540838295673,1.0,0.0
100,0.75,200,10.0,131.136,0.1481914971319944,1.0,0.0
100,0.8,200,10.0,122.173,0.0816300718009125,1.0,0.0
500,0.4,100,5.0,19.31,0.40134559671186115,0.0,0.0
500,0.45,100,5.0,29.208,0.2832454313841618,0.0,0.0
500,0.5,100,5.0,51.214,1.9181341500531177,0.0,0.0
500,0.55,100,5.0,131.86200000000002,4.922646037082087,0.0,0.0
500,0.58,25,5.0,426.2,39.04194054193515,0.008,0.01568
500,0.58,50,5.0,420.724,24.654096360515833,0.004,0.00784
500,0.58,100,5.0,440.782,11.491888674295453,0.004,0.004800999895855028
500,0.58,200,5.0,432.023,7.516450890307192,0.002,0.002400499947927514
500,0.6,25,5.0,1282.9119999999998,54.84544496125815,0.96,0.02479225685572008
500,0.6,50,5.0,1261.484,36.31403751181626,0.9399999999999998,0.035061545887196684
500,0.6,100,5.0,1252.666,18.405641500192228,0.9339999999999999,0.028131292185038334
500,0.6,200,5.0,1259.592,12.717402870334812,0.925,0.021245893720905205
500,0.62,25,5.0,935.9119999999999,10.566080593597604,1.0,0.0
500,0.62,50,5.0,935.784,7.426857697411478,1.0,0.0
500,0.62,100,5.0,931.25,4.821181689171243,1.0,0.0
500,0.62,200,5.0,930.5319999999999,4.931564681761761,1.0,0.0
500,0.65,100,5.0,770.446,1.4582268278975135,1.0,0.0
500,0.7,100,5.0,670.3140000000001,0.43051345344829955,1.0,0.0
500,0.75,100,5.0,619.2459999999999,0.39539569243989653,1.0,0.0
500,0.8,100,5.0,584.682,0.11077034982341759,1.0,0.0
